동별,구분별,2008. 1/4,2008. 2/4,2008. 3/4,2008. 4/4,2009. 1/4,2009. 2/4,2009. 3/4,2009. 4/4,2010. 1/4,2010. 2/4,2010. 3/4,2010. 4/4,2011. 1/4,2011. 2/4,2011. 3/4,2011. 4/4,2012. 1/4,2012. 2/4,2012. 3/4,2012. 4/4,2013. 1/4,2013. 2/4,2013. 3/4,2013. 4/4,2014. 1/4,2014. 2/4,2014. 3/4,2014. 4/4,2015. 1/4,2015. 2/4,2015. 3/4,2015. 4/4,2016. 1/4,2016. 2/4,2016. 3/4,2016. 4/4,2017. 1/4,2017. 2/4,2017. 3/4,2017. 4/4,2018. 1/4,2018. 2/4,2018. 3/4,2018. 4/4,2019. 1/4,2019. 2/4,2019. 3/4,2019. 4/4,2020. 1/4,2020. 2/4,2020. 3/4,2020. 4/4,2021. 1/4,2021. 2/4,2021. 3/4,2021. 4/4,2022. 1/4,2022. 2/4,2022. 3/4,2022. 4/4,2023. 1/4,2023. 2/4,2023. 3/4,2023. 4/4,2024. 1/4
합계,세대,4064117,4075336,4089495,4097562,4107632,4106591,4116591,4116660,4121193,4116225,4114216,4224181,4221613,4210104,4201510,4192752,4192477,4187283,4185440,4177970,4182314,4181577,4184537,4182351,4190331,4189495,4195210,4194176,4202812,4197478,4195438,4189948,4194485,4193712,4191411,4189839,4202888,4210933,4219001,4220082,4237610,4241547,4254018,4263868,4290922,4304243,4315921,4327605,4354006,4384076,4405833,4417954,4400403,4405638,4421143,4426007,4451444,4464840,4450525,4446296,4463385,4469158,4475726,4469417,4485819
합계,계,10456095,10450784,10457601,10456034,10492176,10489711,10488327,10464051,10464171,10447719,10437326,10575447,10581728,10570064,10557498,10528774,10519780,10498693,10478545,10442426,10437737,10422599,10413232,10388055,10385494,10383651,10386339,10369593,10369067,10349492,10331847,10297138,10282821,10260972,10236408,10204057,10197604,10178395,10158411,10124579,10112070,10089517,10068381,10049607,10054979,10041574,10025927,10010983,10013781,9985652,9953009,9911088,9828094,9795426,9765869,9736027,9732617,9725417,9682126,9667669,9668008,9659322,9655918,9638799,9635445
합계,남자,5189559,5185567,5187173,5184732,5201338,5197856,5195548,5181359,5181117,5172523,5165474,5236742,5238674,5231751,5224009,5208492,5202479,5190917,5179090,5159665,5155053,5145942,5139376,5126351,5122507,5120271,5119324,5109013,5106034,5094448,5083068,5063550,5053675,5040526,5025843,5007379,5000005,4988267,4975437,4957857,4948481,4935944,4922959,4910849,4909387,4899133,4887068,4877725,4874995,4859501,4840912,4816522,4774856,4756178,4739972,4721977,4716704,4709476,4685860,4675560,4672170,4664900,4660459,4649446,4644729
합계,여자,5266536,5265217,5270428,5271302,5290838,5291855,5292779,5282692,5283054,5275196,5271852,5338705,5343054,5338313,5333489,5320282,5317301,5307776,5299455,5282761,5282684,5276657,5273856,5261704,5262987,5263380,5267015,5260580,5263033,5255044,5248779,5233588,5229146,5220446,5210565,5196678,5197599,5190128,5182974,5166722,5163589,5153573,5145422,5138758,5145592,5142441,5138859,5133258,5138786,5126151,5112097,5094566,5053238,5039248,5025897,5014050,5015913,5015941,4996266,4992109,4995838,4994422,4995459,4989353,4990716
합계,한국인,10206136,10196863,10198705,10200827,10225908,10226685,10228160,10208302,10208670,10194327,10186556,10312545,10307783,10288284,10271880,10249679,10245782,10232281,10219334,10195318,10192057,10176560,10166691,10143645,10141727,10129223,10122661,10103233,10100987,10078850,10055027,10022181,10009588,9989795,9964291,9930616,9926968,9914381,9891448,9857426,9838892,9814049,9793003,9765623,9770216,9757144,9740398,9729107,9733655,9720846,9699232,9668465,9598484,9565990,9542256,9509458,9506778,9494807,9450768,9428372,9426404,9414093,9407540,9386034,9384739
합계,남자,5068143,5062784,5062194,5061809,5072811,5071157,5070764,5059269,5059504,5051806,5046415,5111259,5107011,5095751,5086210,5073899,5070498,5062494,5054851,5041336,5037288,5027540,5020717,5007869,5004714,4996391,4991568,4979768,4976047,4962774,4949180,4930943,4922103,4910202,4895508,4876789,4871560,4862573,4849195,4830206,4817507,4802769,4789821,4773899,4772134,4762711,4751696,4744059,4742217,4732275,4719170,4701723,4667524,4649442,4636069,4618040,4613910,4605655,4582361,4570048,4566299,4557609,4552501,4540031,4536128
합계,여자,5137993,5134079,5136511,5139018,5153097,5155528,5157396,5149033,5149166,5142521,5140141,5201286,5200772,5192533,5185670,5175780,5175284,5169787,5164483,5153982,5154769,5149020,5145974,5135776,5137013,5132832,5131093,5123465,5124940,5116076,5105847,5091238,5087485,5079593,5068783,5053827,5055408,5051808,5042253,5027220,5021385,5011280,5003182,4991724,4998082,4994433,4988702,4985048,4991438,4988571,4980062,4966742,4930960,4916548,4906187,4891418,4892868,4889152,4868407,4858324,4860105,4856484,4855039,4846003,4848611
합계,등록외국인,249959,253921,258896,255207,266268,263026,260167,255749,255501,253392,250770,262902,273945,281780,285618,279095,273998,266412,259211,247108,245680,246039,246541,244410,243767,254428,263678,266360,268080,270642,276820,274957,273233,271177,272117,273441,270636,264014,266963,267153,273178,275468,275378,283984,284763,284430,285529,281876,280126,264806,253777,242623,229610,229436,223613,226569,225839,230610,231358,239297,241604,245229,248378,252765,250706
합계,남자,121416,122783,124979,122923,128527,126699,124784,122090,121613,120717,119059,125483,131663,136000,137799,134593,131981,128423,124239,118329,117765,118402,118659,118482,117793,123880,127756,129245,129987,131674,133888,132607,131572,130324,130335,130590,128445,125694,126242,127651,130974,133175,133138,136950,137253,136422,135372,133666,132778,127226,121742,114799,107332,106736,103903,103937,102794,103821,103499,105512,105871,107291,107958,109415,108601
합계,여자,128543,131138,133917,132284,137741,136327,135383,133659,133888,132675,131711,137419,142282,145780,147819,144502,142017,137989,134972,128779,127915,127637,127882,125928,125974,130548,135922,137115,138093,138968,142932,142350,141661,140853,141782,142851,142191,138320,140721,139502,142204,142293,142240,147034,147510,148008,150157,148210,147348,137580,132035,127824,122278,122700,119710,122632,123045,126789,127859,133785,135733,137938,140420,143350,142105
합계,세대당인구,2.5112801,2.5,2.49,2.49,2.49,2.49,2.48,2.48,2.48,2.48,2.48,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.43,2.43,2.43,2.42,2.42,2.41,2.41,2.4,2.4,2.4,2.39,2.39,2.38,2.38,2.37,2.36,2.35,2.34,2.34,2.32,2.31,2.3,2.29,2.28,2.27,2.26,2.25,2.24,2.21731,2.2014525,2.19,2.18,2.17,2.16,2.15,2.14,2.13,2.12,2.12,2.11,2,2.1,2.1,2.09
합계,65세이상고령자,871420,869676,888577,898700,914858,925597,935318,942946,956414,966441,974256,1007572,1018534,1020473,1038150,1049425,1071161,1083464,1098106,1110995,1130508,1142213,1155660,1167177,1183979,1193827,1210141,1221616,1239431,1249461,1258944,1267563,1280268,1286288,1293335,1300877,1321458,1339211,1353486,1365126,1382420,1393671,1405404,1416131,1436125,1451564,1468146,1485272,1518239,1534957,1552356,1568331,1567819,1576971,1592339,1605416,1628980,1641813,1650367,1667411,1690961,1706138,1725801,1743696,1768948
종로구,세대,72934,73746,74471,74660,74609,74372,74472,74315,74300,74061,73803,77621,77380,77121,76999,76688,76702,76315,76245,75659,74581,74092,74016,73693,73689,73629,73581,73101,73218,72882,72878,72645,73146,72820,72582,72118,72654,73091,73668,73594,73879,73655,73696,73735,73914,73828,73942,73947,74151,74497,74861,75003,74113,73525,73652,73494,73766,73728,72797,72524,72679,72507,72304,72067,72404
종로구,계,176619,178131,179330,179754,179661,178569,178352,177543,177023,176143,175049,179362,179068,178779,178539,177419,176766,175430,174850,173148,170681,169294,168943,167867,167350,166665,166200,165344,165240,164291,164499,163822,163993,163235,162957,161922,162820,163521,164640,164257,164348,163569,163086,163026,162913,162413,162860,161869,161984,160520,159842,158996,156567,155106,154318,153789,153684,153255,151999,152211,152212,151349,151127,150453,150550
종로구,남자,88217,88895,89522,89725,89697,89125,88941,88432,88225,87686,87065,89252,89119,88814,88676,88107,87774,87074,86871,85997,84719,83937,83730,83211,82845,82355,81935,81439,81256,80814,80796,80531,80548,80127,79838,79322,79675,79905,80173,80094,79962,79522,79301,79156,78963,78657,78523,78215,78271,77745,77391,76876,75772,75009,74561,74186,74018,73689,72917,72980,72819,72433,72222,71890,71861
종로구,여자,88402,89236,89808,90029,89964,89444,89411,89111,88798,88457,87984,90110,89949,89965,89863,89312,88992,88356,87979,87151,85962,85357,85213,84656,84505,84310,84265,83905,83984,83477,83703,83291,83445,83108,83119,82600,83145,83616,84467,84163,84386,84047,83785,83870,83950,83756,84337,83654,83713,82775,82451,82120,80795,80097,79757,79603,79666,79566,79082,79231,79393,78916,78905,78563,78689
종로구,한국인,168162,169362,170348,170705,170410,169520,169306,168603,168158,167370,166451,170578,170099,169473,169188,168382,167967,166996,166573,165207,162777,161485,161004,160070,159551,158821,158067,156993,156645,155695,155508,154986,155142,154365,153793,152737,153589,154408,155109,154770,154549,153780,153396,153065,152778,152026,151767,151290,151217,150383,149952,149384,147296,146029,145512,144683,144275,143624,141978,141379,141060,140397,139945,139417,139498
종로구,남자,84124,84703,85249,85398,85284,84832,84682,84257,84088,83638,83093,85182,84910,84496,84319,83931,83677,83155,82979,82274,81033,80308,80022,79519,79153,78678,78253,77621,77431,76962,76822,76548,76593,76126,75744,75201,75611,75924,76155,75967,75749,75247,75024,74825,74536,74190,73952,73746,73704,73288,73024,72635,71644,70985,70666,70183,69911,69513,68652,68395,68170,67834,67625,67306,67228
종로구,여자,84038,84659,85099,85307,85126,84688,84624,84346,84070,83732,83358,85396,85189,84977,84869,84451,84290,83841,83594,82933,81744,81177,80982,80551,80398,80143,79814,79372,79214,78733,78686,78438,78549,78239,78049,77536,77978,78484,78954,78803,78800,78533,78372,78240,78242,77836,77815,77544,77513,77095,76928,76749,75652,75044,74846,74500,74364,74111,73326,72984,72890,72563,72320,72111,72270
종로구,등록외국인,8457,8769,8982,9049,9251,9049,9046,8940,8865,8773,8598,8784,8969,9306,9351,9037,8799,8434,8277,7941,7904,7809,7939,7797,7799,7844,8133,8351,8595,8596,8991,8836,8851,8870,9164,9185,9231,9113,9531,9487,9799,9789,9690,9961,10135,10387,11093,10579,10767,10137,9890,9612,9271,9077,8806,9106,9409,9631,10021,10832,11152,10952,11182,11036,11052
종로구,남자,4093,4192,4273,4327,4413,4293,4259,4175,4137,4048,3972,4070,4209,4318,4357,4176,4097,3919,3892,3723,3686,3629,3708,3692,3692,3677,3682,3818,3825,3852,3974,3983,3955,4001,4094,4121,4064,3981,4018,4127,4213,4275,4277,4331,4427,4467,4571,4469,4567,4457,4367,4241,4128,4024,3895,4003,4107,4176,4265,4585,4649,4599,4597,4584,4633
