,동별,구분별,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,합계,세대,4064117.0,4107632.0,4121193.0,4221613.0,4192477.0,4182314.0,4190331.0,4202812.0,4194485.0,4202888.0,4237610.0,4290922.0,4354006.0,4400403.0,4451444.0,4463385.0,4485819.0
1,합계,계,10456095.0,10492176.0,10464171.0,10581728.0,10519780.0,10437737.0,10385494.0,10369067.0,10282821.0,10197604.0,10112070.0,10054979.0,10013781.0,9828094.0,9732617.0,9668008.0,9635445.0
2,합계,남자,5189559.0,5201338.0,5181117.0,5238674.0,5202479.0,5155053.0,5122507.0,5106034.0,5053675.0,5000005.0,4948481.0,4909387.0,4874995.0,4774856.0,4716704.0,4672170.0,4644729.0
3,합계,여자,5266536.0,5290838.0,5283054.0,5343054.0,5317301.0,5282684.0,5262987.0,5263033.0,5229146.0,5197599.0,5163589.0,5145592.0,5138786.0,5053238.0,5015913.0,4995838.0,4990716.0
4,합계,한국인,10206136.0,10225908.0,10208670.0,10307783.0,10245782.0,10192057.0,10141727.0,10100987.0,10009588.0,9926968.0,9838892.0,9770216.0,9733655.0,9598484.0,9506778.0,9426404.0,9384739.0
5,합계,남자,5068143.0,5072811.0,5059504.0,5107011.0,5070498.0,5037288.0,5004714.0,4976047.0,4922103.0,4871560.0,4817507.0,4772134.0,4742217.0,4667524.0,4613910.0,4566299.0,4536128.0
6,합계,여자,5137993.0,5153097.0,5149166.0,5200772.0,5175284.0,5154769.0,5137013.0,5124940.0,5087485.0,5055408.0,5021385.0,4998082.0,4991438.0,4930960.0,4892868.0,4860105.0,4848611.0
7,합계,등록외국인,249959.0,266268.0,255501.0,273945.0,273998.0,245680.0,243767.0,268080.0,273233.0,270636.0,273178.0,284763.0,280126.0,229610.0,225839.0,241604.0,250706.0
8,합계,남자,121416.0,128527.0,121613.0,131663.0,131981.0,117765.0,117793.0,129987.0,131572.0,128445.0,130974.0,137253.0,132778.0,107332.0,102794.0,105871.0,108601.0
9,합계,여자,128543.0,137741.0,133888.0,142282.0,142017.0,127915.0,125974.0,138093.0,141661.0,142191.0,142204.0,147510.0,147348.0,122278.0,123045.0,135733.0,142105.0
10,합계,세대당인구,2.5112801,2.49,2.48,2.44,2.44,2.44,2.42,2.4,2.39,2.36,2.32,2.28,2.24,2.18,2.14,2.11,2.09
11,합계,65세이상고령자,871420.0,914858.0,956414.0,1018534.0,1071161.0,1130508.0,1183979.0,1239431.0,1280268.0,1321458.0,1382420.0,1436125.0,1518239.0,1567819.0,1628980.0,1690961.0,1768948.0
12,종로구,세대,72934.0,74609.0,74300.0,77380.0,76702.0,74581.0,73689.0,73218.0,73146.0,72654.0,73879.0,73914.0,74151.0,74113.0,73766.0,72679.0,72404.0
13,종로구,계,176619.0,179661.0,177023.0,179068.0,176766.0,170681.0,167350.0,165240.0,163993.0,162820.0,164348.0,162913.0,161984.0,156567.0,153684.0,152212.0,150550.0
14,종로구,남자,88217.0,89697.0,88225.0,89119.0,87774.0,84719.0,82845.0,81256.0,80548.0,79675.0,79962.0,78963.0,78271.0,75772.0,74018.0,72819.0,71861.0
